,country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,AgeCL_1,AgeCL_2,Stock_AgeCL_1,Stock_AgeCL_2,afforestation_stock,afforestation_rate,NUTS2
0,AT,ForAWS,AA,AT12,HP,E,con,3.1,13.6,13.4,26.8,40.2,10.1,AT12
1,AT,ForAWS,AA,AT21,HP,E,con,2.0,7.6,16.1,32.2,48.300000000000004,5.733333333333333,AT21
2,AT,ForAWS,AA,AT21,HP,E,con,2.0,7.6,7.3,14.6,21.9,5.733333333333333,AT21
3,AT,ForAWS,AA,AT21,HS,E,con,2.0,7.6,16.1,32.2,48.300000000000004,5.733333333333333,AT21
4,AT,ForAWS,AA,AT21,HS,E,con,2.0,7.6,7.3,14.6,21.9,5.733333333333333,AT21
5,AT,ForAWS,AA,AT22,HP,E,con,0.7,6.1,17.9,35.8,53.699999999999996,4.3,AT22
6,AT,ForAWS,AA,AT31,HP,E,con,2.2,9.6,20.1,40.2,60.300000000000004,7.133333333333333,AT31
7,AT,ForAWS,AA,AT32,HP,E,con,2.7,20.4,16.1,32.2,48.300000000000004,14.499999999999998,AT32
8,AT,ForAWS,AA,AT33,HP,E,con,6.9,12.4,16.1,32.2,48.300000000000004,10.566666666666666,AT33
9,AT,ForAWS,AA,AT33,HP,E,con,6.9,12.4,9.0,17.9,26.9,10.559851301115241,AT33
10,AT,ForAWS,AA,AT33,HS,E,con,6.9,12.4,16.1,32.2,48.300000000000004,10.566666666666666,AT33
11,AT,ForAWS,AA,AT33,HS,E,con,6.9,12.4,9.0,17.9,26.9,10.559851301115241,AT33
12,AT,ForAWS,AA,AT34,HP,E,con,6.0,15.6,17.9,35.8,53.699999999999996,12.399999999999999,AT34
13,AT,ForAWS,FS,AT11,HP,E,broad,4.2,8.5,16.6,33.1,49.7,7.0637826961770624,AT11
14,AT,ForAWS,FS,AT12,HP,E,broad,2.5,9.9,20.2,40.4,60.599999999999994,7.433333333333334,AT12
15,AT,ForAWS,FS,AT12,HP,E,broad,2.5,9.9,7.6,15.2,22.799999999999997,7.433333333333334,AT12
16,AT,ForAWS,FS,AT12,HS,E,broad,2.5,9.9,20.2,40.4,60.599999999999994,7.433333333333334,AT12
17,AT,ForAWS,FS,AT12,HS,E,broad,2.5,9.9,7.6,15.2,22.799999999999997,7.433333333333334,AT12
18,AT,ForAWS,FS,AT21,HP,E,broad,0.2,1.3,20.2,40.4,60.599999999999994,0.9333333333333335,AT21
19,AT,ForAWS,FS,AT21,HP,E,broad,0.2,1.3,14.0,28.0,42.0,0.9333333333333332,AT21
20,AT,ForAWS,FS,AT21,HS,E,broad,0.2,1.3,20.2,40.4,60.599999999999994,0.9333333333333335,AT21
21,AT,ForAWS,FS,AT21,HS,E,broad,0.2,1.3,14.0,28.0,42.0,0.9333333333333332,AT21
22,AT,ForAWS,FS,AT22,HP,E,broad,3.3,6.3,18.2,36.4,54.599999999999994,5.300000000000001,AT22
23,AT,ForAWS,FS,AT22,HP,E,broad,3.3,6.3,14.0,28.0,42.0,5.3,AT22
24,AT,ForAWS,FS,AT22,HS,E,broad,3.3,6.3,18.2,36.4,54.599999999999994,5.300000000000001,AT22
25,AT,ForAWS,FS,AT22,HS,E,broad,3.3,6.3,14.0,28.0,42.0,5.3,AT22
26,AT,ForAWS,FS,AT31,HP,E,broad,2.2,6.2,18.2,36.4,54.599999999999994,4.866666666666667,AT31
27,AT,ForAWS,FS,AT31,HP,E,broad,2.2,6.2,13.0,26.0,39.0,4.866666666666667,AT31
28,AT,ForAWS,FS,AT31,HS,E,broad,2.2,6.2,18.2,36.4,54.599999999999994,4.866666666666667,AT31
29,AT,ForAWS,FS,AT31,HS,E,broad,2.2,6.2,13.0,26.0,39.0,4.866666666666667,AT31
30,AT,ForAWS,FS,AT32,HP,E,broad,1.5,6.3,20.2,40.4,60.599999999999994,4.7,AT32
31,AT,ForAWS,FS,AT32,HP,E,broad,1.5,6.3,9.6,19.1,28.700000000000003,4.694425087108014,AT32
32,AT,ForAWS,FS,AT32,HS,E,broad,1.5,6.3,20.2,40.4,60.599999999999994,4.7,AT32
33,AT,ForAWS,FS,AT32,HS,E,broad,1.5,6.3,9.6,19.1,28.700000000000003,4.694425087108014,AT32
34,AT,ForAWS,FS,AT33,HP,E,broad,1.5,6.9,16.6,33.1,49.7,5.0963782696177065,AT33
35,AT,ForAWS,FS,AT33,HP,E,broad,1.5,6.9,14.0,28.0,42.0,5.1000000000000005,AT33
36,AT,ForAWS,FS,AT33,HS,E,broad,1.5,6.9,16.6,33.1,49.7,5.0963782696177065,AT33
37,AT,ForAWS,FS,AT33,HS,E,broad,1.5,6.9,14.0,28.0,42.0,5.1000000000000005,AT33
38,AT,ForAWS,FS,AT34,HP,E,broad,1.9,3.9,14.0,28.0,42.0,3.2333333333333334,AT34
39,AT,ForAWS,FS,AT34,HP,E,broad,1.9,3.9,10.7,21.4,32.099999999999994,3.2333333333333334,AT34
40,AT,ForAWS,FS,AT34,HS,E,broad,1.9,3.9,14.0,28.0,42.0,3.2333333333333334,AT34
41,AT,ForAWS,FS,AT34,HS,E,broad,1.9,3.9,10.7,21.4,32.099999999999994,3.2333333333333334,AT34
42,AT,ForAWS,LD,AT11,HP,E,con,0.4,2.7,1.1,2.2,3.3000000000000003,1.9333333333333336,AT11
43,AT,ForAWS,LD,AT12,HP,E,con,4.3,9.1,4.6,9.2,13.799999999999999,7.5,AT12
44,AT,ForAWS,LD,AT21,HP,E,con,1.8,6.8,4.1,8.2,12.299999999999999,5.133333333333333,AT21
45,AT,ForAWS,LD,AT21,HP,E,con,1.8,6.8,3.1,6.2,9.3,5.133333333333332,AT21
46,AT,ForAWS,LD,AT21,HS,E,con,1.8,6.8,4.1,8.2,12.299999999999999,5.133333333333333,AT21
47,AT,ForAWS,LD,AT21,HS,E,con,1.8,6.8,3.1,6.2,9.3,5.133333333333332,AT21
48,AT,ForAWS,LD,AT22,HP,E,con,1.6,5.2,4.1,8.2,12.299999999999999,4.000000000000001,AT22
49,AT,ForAWS,LD,AT22,HP,E,con,1.6,5.2,2.1,4.1,6.199999999999999,3.980645161290323,AT22
50,AT,ForAWS,LD,AT22,HS,E,con,1.6,5.2,4.1,8.2,12.299999999999999,4.000000000000001,AT22
51,AT,ForAWS,LD,AT22,HS,E,con,1.6,5.2,2.1,4.1,6.199999999999999,3.980645161290323,AT22
52,AT,ForAWS,LD,AT31,HP,E,con,0.5,2.8,4.1,8.2,12.299999999999999,2.033333333333333,AT31
53,AT,ForAWS,LD,AT31,HP,E,con,0.5,2.8,2.5,4.9,7.4,2.022972972972973,AT31
54,AT,ForAWS,LD,AT31,HS,E,con,0.5,2.8,4.1,8.2,12.299999999999999,2.033333333333333,AT31
55,AT,ForAWS,LD,AT31,HS,E,con,0.5,2.8,2.5,4.9,7.4,2.022972972972973,AT31
56,AT,ForAWS,LD,AT32,HP,E,con,0.5,2.5,3.1,6.2,9.3,1.8333333333333333,AT32
57,AT,ForAWS,LD,AT32,HP,E,con,0.5,2.5,2.2,4.3,6.5,1.823076923076923,AT32
58,AT,ForAWS,LD,AT32,HS,E,con,0.5,2.5,3.1,6.2,9.3,1.8333333333333333,AT32
59,AT,ForAWS,LD,AT32,HS,E,con,0.5,2.5,2.2,4.3,6.5,1.823076923076923,AT32
60,AT,ForAWS,LD,AT33,HP,E,con,3.6,5.0,3.7,7.4,11.100000000000001,4.533333333333333,AT33
61,AT,ForAWS,LD,AT33,HP,E,con,3.6,5.0,2.9,5.7,8.6,4.527906976744186,AT33
62,AT,ForAWS,LD,AT33,HS,E,con,3.6,5.0,3.7,7.4,11.100000000000001,4.533333333333333,AT33
63,AT,ForAWS,LD,AT33,HS,E,con,3.6,5.0,2.9,5.7,8.6,4.527906976744186,AT33
64,AT,ForAWS,OC,AT12,HP,E,con,2.0,7.6,61.1,122.2,183.3,5.733333333333333,AT12
65,AT,ForAWS,OC,AT31,HP,E,con,2.0,7.6,61.1,122.2,183.3,5.733333333333333,AT31
66,AT,ForAWS,OH,AT11,C,E,broad,1.1,0.6,69.1,138.2,207.29999999999998,0.7666666666666666,AT11
67,AT,ForAWS,OH,AT11,C,E,broad,1.1,0.6,10.4,20.8,31.200000000000003,0.7666666666666666,AT11
68,AT,ForAWS,OH,AT11,HP,E,broad,1.2,3.6,69.1,138.2,207.29999999999998,2.8,AT11
69,AT,ForAWS,OH,AT11,HP,E,broad,1.2,3.6,10.4,20.8,31.200000000000003,2.8,AT11
70,AT,ForAWS,OH,AT12,C,E,broad,5.7,6.5,69.1,138.2,207.29999999999998,6.233333333333333,AT12
71,AT,ForAWS,OH,AT12,C,E,broad,5.7,6.5,14.6,29.1,43.7,6.232723112128147,AT12
72,AT,ForAWS,OH,AT12,C,E,broad,5.7,6.5,5.2,10.4,15.600000000000001,6.233333333333334,AT12
73,AT,ForAWS,OH,AT12,HP,E,broad,0.7,3.7,69.1,138.2,207.29999999999998,2.7,AT12
74,AT,ForAWS,OH,AT12,HP,E,broad,0.7,3.7,14.6,29.1,43.7,2.6977116704805493,AT12
75,AT,ForAWS,OH,AT12,HP,E,broad,0.7,3.7,5.2,10.4,15.600000000000001,2.7,AT12
76,AT,ForAWS,OH,AT12,HS,E,broad,0.7,3.7,69.1,138.2,207.29999999999998,2.7,AT12
77,AT,ForAWS,OH,AT12,HS,E,broad,0.7,3.7,14.6,29.1,43.7,2.6977116704805493,AT12
78,AT,ForAWS,OH,AT12,HS,E,broad,0.7,3.7,5.2,10.4,15.600000000000001,2.7,AT12
79,AT,ForAWS,OH,AT13,HP,E,broad,0.7,3.6,13.3,26.5,39.8,2.630904522613066,AT13
80,AT,ForAWS,OH,AT21,C,E,broad,2.9,5.6,69.1,138.2,207.29999999999998,4.699999999999999,AT21
81,AT,ForAWS,OH,AT21,C,E,broad,2.9,5.6,18.2,36.4,54.599999999999994,4.7,AT21
82,AT,ForAWS,OH,AT21,HP,E,broad,0.3,2.7,69.1,138.2,207.29999999999998,1.9000000000000001,AT21
83,AT,ForAWS,OH,AT21,HP,E,broad,0.3,2.7,18.2,36.4,54.599999999999994,1.9000000000000004,AT21
84,AT,ForAWS,OH,AT22,C,E,broad,2.9,5.6,46.1,92.1,138.2,4.699348769898698,AT22
85,AT,ForAWS,OH,AT22,C,E,broad,2.9,5.6,16.2,32.4,48.599999999999994,4.699999999999999,AT22
86,AT,ForAWS,OH,AT22,C,E,broad,2.9,5.6,16.2,32.4,48.599999999999994,4.699999999999999,AT22
87,AT,ForAWS,OH,AT22,HP,E,broad,1.9,3.3,46.1,92.1,138.2,2.832995658465991,AT22
88,AT,ForAWS,OH,AT22,HP,E,broad,1.9,3.3,16.2,32.4,48.599999999999994,2.8333333333333335,AT22
89,AT,ForAWS,OH,AT22,HP,E,broad,1.9,3.3,16.2,32.4,48.599999999999994,2.8333333333333335,AT22
90,AT,ForAWS,OH,AT22,HS,E,broad,1.9,3.3,46.1,92.1,138.2,2.832995658465991,AT22
91,AT,ForAWS,OH,AT22,HS,E,broad,1.9,3.3,16.2,32.4,48.599999999999994,2.8333333333333335,AT22
92,AT,ForAWS,OH,AT22,HS,E,broad,1.9,3.3,16.2,32.4,48.599999999999994,2.8333333333333335,AT22
93,AT,ForAWS,OH,AT31,C,E,broad,29.7,26.5,69.1,138.2,207.29999999999998,27.56666666666667,AT31
94,AT,ForAWS,OH,AT31,C,E,broad,29.7,26.5,18.2,36.4,54.599999999999994,27.56666666666667,AT31
95,AT,ForAWS,OH,AT31,C,E,broad,29.7,26.5,5.9,11.7,17.6,27.57272727272727,AT31
96,AT,ForAWS,OH,AT31,HP,E,broad,0.4,4.9,69.1,138.2,207.29999999999998,3.4,AT31
97,AT,ForAWS,OH,AT31,HP,E,broad,0.4,4.9,18.2,36.4,54.599999999999994,3.4000000000000004,AT31
98,AT,ForAWS,OH,AT31,HP,E,broad,0.4,4.9,5.9,11.7,17.6,3.3914772727272724,AT31
99,AT,ForAWS,OH,AT31,HS,E,broad,0.4,4.9,69.1,138.2,207.29999999999998,3.4,AT31
100,AT,ForAWS,OH,AT31,HS,E,broad,0.4,4.9,18.2,36.4,54.599999999999994,3.4000000000000004,AT31
101,AT,ForAWS,OH,AT31,HS,E,broad,0.4,4.9,5.9,11.7,17.6,3.3914772727272724,AT31
102,AT,ForAWS,OH,AT32,C,E,broad,29.7,26.5,55.3,110.6,165.89999999999998,27.56666666666667,AT32
103,AT,ForAWS,OH,AT32,C,E,broad,29.7,26.5,24.3,48.6,72.9,27.56666666666667,AT32
104,AT,ForAWS,OH,AT32,C,E,broad,29.7,26.5,24.3,48.6,72.9,27.56666666666667,AT32
105,AT,ForAWS,OH,AT32,HP,E,broad,0.7,4.3,55.3,110.6,165.89999999999998,3.1000000000000005,AT32
106,AT,ForAWS,OH,AT32,HP,E,broad,0.7,4.3,24.3,48.6,72.9,3.0999999999999996,AT32
107,AT,ForAWS,OH,AT32,HP,E,broad,0.7,4.3,24.3,48.6,72.9,3.0999999999999996,AT32
108,AT,ForAWS,OH,AT32,HS,E,broad,0.7,4.3,55.3,110.6,165.89999999999998,3.1000000000000005,AT32
109,AT,ForAWS,OH,AT32,HS,E,broad,0.7,4.3,24.3,48.6,72.9,3.0999999999999996,AT32
110,AT,ForAWS,OH,AT32,HS,E,broad,0.7,4.3,24.3,48.6,72.9,3.0999999999999996,AT32
111,AT,ForAWS,OH,AT33,HP,E,broad,0.3,2.3,10.4,20.8,31.200000000000003,1.633333333333333,AT33
112,AT,ForAWS,OH,AT33,HP,E,broad,0.3,2.3,4.2,8.3,12.5,1.628,AT33
113,AT,ForAWS,OH,AT33,HS,E,broad,0.3,2.3,10.4,20.8,31.200000000000003,1.633333333333333,AT33
114,AT,ForAWS,OH,AT33,HS,E,broad,0.3,2.3,4.2,8.3,12.5,1.628,AT33
115,AT,ForAWS,OH,AT34,HP,E,broad,4.2,9.0,13.3,26.5,39.8,7.395979899497488,AT34
116,AT,ForAWS,OS,AT11,HP,E,broad,6.3,15.0,54.1,108.1,162.2,12.098212083847104,AT11
117,AT,ForAWS,OS,AT12,HP,E,broad,0.9,4.8,48.1,96.1,144.2,3.499098474341193,AT12
118,AT,ForAWS,OS,AT21,HP,E,broad,0.6,2.5,43.3,86.5,129.8,1.8661787365177194,AT21
119,AT,ForAWS,OS,AT21,HP,E,broad,0.6,2.5,20.6,41.2,61.800000000000004,1.8666666666666665,AT21
120,AT,ForAWS,OS,AT21,HS,E,broad,0.6,2.5,43.3,86.5,129.8,1.8661787365177194,AT21
121,AT,ForAWS,OS,AT21,HS,E,broad,0.6,2.5,20.6,41.2,61.800000000000004,1.8666666666666665,AT21
122,AT,ForAWS,OS,AT22,HP,E,broad,0.4,1.5,54.1,108.1,162.2,1.1331072749691737,AT22
123,AT,ForAWS,OS,AT22,HP,E,broad,0.4,1.5,54.1,108.1,162.2,1.1331072749691737,AT22
124,AT,ForAWS,OS,AT22,HS,E,broad,0.4,1.5,54.1,108.1,162.2,1.1331072749691737,AT22
125,AT,ForAWS,OS,AT22,HS,E,broad,0.4,1.5,54.1,108.1,162.2,1.1331072749691737,AT22
126,AT,ForAWS,OS,AT31,HP,E,broad,0.4,3.9,54.1,108.1,162.2,2.7326140567200987,AT31
127,AT,ForAWS,OS,AT32,HP,E,broad,1.2,3.6,25.5,50.9,76.4,2.798952879581152,AT32
128,AT,ForAWS,OS,AT33,HP,E,broad,4.4,9.9,39.3,78.7,118.0,8.068220338983052,AT33
129,AT,ForAWS,OS,AT33,HP,E,broad,4.4,9.9,25.5,50.9,76.4,8.064267015706806,AT33
130,AT,ForAWS,OS,AT33,HS,E,broad,4.4,9.9,39.3,78.7,118.0,8.068220338983052,AT33
131,AT,ForAWS,OS,AT33,HS,E,broad,4.4,9.9,25.5,50.9,76.4,8.064267015706806,AT33
132,AT,ForAWS,OS,AT34,HP,E,broad,1.7,7.5,19.7,39.3,59.0,5.563389830508474,AT34
133,AT,ForAWS,PA,AT11,HP,E,con,1.4,8.3,34.9,69.8,104.69999999999999,6.000000000000001,AT11
134,AT,ForAWS,PA,AT12,HP,E,con,4.2,9.9,28.6,57.1,85.7,7.997782963827305,AT12
135,AT,ForAWS,PA,AT12,HP,E,con,4.2,9.9,18.5,36.9,55.4,7.996570397111914,AT12
136,AT,ForAWS,PA,AT12,HS,E,con,4.2,9.9,28.6,57.1,85.7,7.997782963827305,AT12
137,AT,ForAWS,PA,AT12,HS,E,con,4.2,9.9,18.5,36.9,55.4,7.996570397111914,AT12
138,AT,ForAWS,PA,AT21,HP,E,con,4.1,13.3,34.9,69.8,104.69999999999999,10.233333333333334,AT21
139,AT,ForAWS,PA,AT21,HP,E,con,4.1,13.3,28.6,57.1,85.7,10.229754959159859,AT21
140,AT,ForAWS,PA,AT21,HS,E,con,4.1,13.3,34.9,69.8,104.69999999999999,10.233333333333334,AT21
141,AT,ForAWS,PA,AT21,HS,E,con,4.1,13.3,28.6,57.1,85.7,10.229754959159859,AT21
142,AT,ForAWS,PA,AT22,HP,E,con,2.6,5.1,31.4,62.8,94.19999999999999,4.266666666666667,AT22
143,AT,ForAWS,PA,AT22,HP,E,con,2.6,5.1,24.2,48.3,72.5,4.265517241379309,AT22
144,AT,ForAWS,PA,AT22,HS,E,con,2.6,5.1,31.4,62.8,94.19999999999999,4.266666666666667,AT22
145,AT,ForAWS,PA,AT22,HS,E,con,2.6,5.1,24.2,48.3,72.5,4.265517241379309,AT22
