,afforestation growth rate (m3 ha-1 y-1),AgeCL (max),Forest type,stock (m3 ha-1)
AT,5.599390602557966,20,all,14621.0
BE,10.629343293954134,20,all,1151.2
BG,6.855339618815893,20,all,4863.6
CH,6.855339618815893,20,all,
CY,6.855339618815893,20,all,
CZ,5.3421957893561185,20,all,14325.6
DE,9.029208379916664,20,all,15742.4
DK,3.288363129106861,20,all,2724.1
EE,6.855339618815893,20,all,639.4000000000001
EL,6.855339618815893,20,all,
ES,6.855339618815893,20,all,
FI,4.6298758357211085,20,all,840.6
FR,6.6942983845422885,20,all,11238.3
HR,6.855339618815893,20,all,637.1999999999999
HU,6.855339618815893,20,all,993.7
IE,6.855339618815893,20,all,428.5
IS,6.855339618815893,20,all,
IT,5.654489122572803,20,all,102170.3
LI,6.855339618815893,20,all,
LT,6.855339618815893,20,all,788.0
LU,6.855339618815893,20,all,311.6
LV,6.855339618815893,20,all,441.5
ME,6.855339618815893,20,all,
MK,6.855339618815893,20,all,
MT,6.855339618815893,20,all,
NL,6.855339618815893,20,all,1375.3
NO,6.855339618815893,20,all,
PL,6.8725138380083965,20,all,5938.0
PT,8.935381861575182,20,all,1676.0
RO,3.4415718255406547,20,all,8277.0
SE,4.792263486579857,20,all,12041.6
SI,6.855339618815893,20,all,242.5
SK,6.855339618815893,20,all,323.8
TR,6.855339618815893,20,all,
UK,6.855339618815893,20,all,
