NUTS2,affo rate (t/ha/y),Source,NUTS1
AT11,4.173577054857966,direct,AT1
AT12,3.675615409209675,direct,AT1
AT13,3.675615409209675,direct,AT1
AT21,3.775628988820922,direct,AT2
AT22,3.1025380290225657,direct,AT2
AT31,3.219352088429363,direct,AT3
AT32,3.5985043853980914,direct,AT3
AT33,2.465096011003061,direct,AT3
AT34,3.266687213288544,direct,AT3
BE10,1.9468101265439572,BE1→NUTS1 copy,BE1
BE21,1.9468101265439572,BE2→NUTS1 copy,BE2
BE22,1.9468101265439572,BE2→NUTS1 copy,BE2
BE23,1.9468101265439572,BE2→NUTS1 copy,BE2
BE24,1.9468101265439572,BE2→NUTS1 copy,BE2
BE25,1.9468101265439572,BE2→NUTS1 copy,BE2
BE31,2.337726518717134,BE3→NUTS1 copy,BE3
BE32,2.337726518717134,BE3→NUTS1 copy,BE3
BE33,2.337726518717134,BE3→NUTS1 copy,BE3
BE34,2.337726518717134,BE3→NUTS1 copy,BE3
BE35,2.337726518717134,BE3→NUTS1 copy,BE3
BG31,2.731776091029731,direct,BG3
BG32,2.813134547623254,direct,BG3
BG33,2.790257008118325,direct,BG3
BG34,2.894427308643358,direct,BG3
BG41,4.066228038658328,direct,BG4
BG42,3.902791267067829,direct,BG4
CH01,2.776475725590159,direct,CH0
CH02,5.683210679805834,direct,CH0
CH03,5.660064487977991,direct,CH0
CH04,5.09249211060559,direct,CH0
CH05,3.3726495985547116,direct,CH0
CH06,4.380937319071399,direct,CH0
CH07,3.70073131189411,direct,CH0
CY00,4.025368845760703,EL43 copy,CY0
CZ01,2.727037712527128,direct,CZ0
CZ02,3.8579384707653617,direct,CZ0
CZ03,3.965592289826719,direct,CZ0
CZ04,3.938005362857443,direct,CZ0
CZ05,4.0051133764702795,direct,CZ0
CZ06,3.944969630801718,direct,CZ0
CZ07,3.876161217423556,direct,CZ0
CZ08,3.776647263929843,direct,CZ0
DE11,5.09249211060559,DE1→NUTS1 copy,DE1
DE12,5.09249211060559,DE1→NUTS1 copy,DE1
DE13,5.09249211060559,DE1→NUTS1 copy,DE1
DE14,5.09249211060559,DE1→NUTS1 copy,DE1
DE21,5.418333693095082,DE2→NUTS1 copy,DE2
DE22,5.418333693095082,DE2→NUTS1 copy,DE2
DE23,5.418333693095082,DE2→NUTS1 copy,DE2
DE24,5.418333693095082,DE2→NUTS1 copy,DE2
DE25,5.418333693095082,DE2→NUTS1 copy,DE2
DE26,5.418333693095082,DE2→NUTS1 copy,DE2
DE27,5.418333693095082,DE2→NUTS1 copy,DE2
DE30,3.580169015100222,DE3→NUTS1 copy,DE3
DE40,3.580169015100222,DE4→NUTS1 copy,DE4
DE50,3.730654360126704,DE5→NUTS1 copy,DE5
DE60,3.730654360126704,DE6→NUTS1 copy,DE6
DE71,5.00929379393716,DE7→NUTS1 copy,DE7
DE72,5.00929379393716,DE7→NUTS1 copy,DE7
DE73,5.00929379393716,DE7→NUTS1 copy,DE7
DE80,4.815093232001559,DE8→NUTS1 copy,DE8
DE91,3.730654360126704,DE9→NUTS1 copy,DE9
DE92,3.730654360126704,DE9→NUTS1 copy,DE9
DE93,3.730654360126704,DE9→NUTS1 copy,DE9
DE94,3.730654360126704,DE9→NUTS1 copy,DE9
DEA1,4.956990975866416,DEA→NUTS1 copy,DEA
DEA2,4.956990975866416,DEA→NUTS1 copy,DEA
DEA3,4.956990975866416,DEA→NUTS1 copy,DEA
DEA4,4.956990975866416,DEA→NUTS1 copy,DEA
DEA5,4.956990975866416,DEA→NUTS1 copy,DEA
DEB1,4.842249255753815,DEB→NUTS1 copy,DEB
DEB2,4.842249255753815,DEB→NUTS1 copy,DEB
DEB3,4.842249255753815,DEB→NUTS1 copy,DEB
DEC0,5.52740894234978,DEC→NUTS1 copy,DEC
DED2,4.752144132652424,DED→NUTS1 copy,DED
DED4,4.752144132652424,DED→NUTS1 copy,DED
DED5,4.752144132652424,DED→NUTS1 copy,DED
DEE0,3.1621816604998148,DEE→NUTS1 copy,DEE
DEF0,3.6279243223288717,DEF→NUTS1 copy,DEF
DEG0,3.936617516040523,DEG→NUTS1 copy,DEG
DK01,2.7553291735757517,direct,DK0
DK02,2.719347175951702,direct,DK0
