STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,crops,Crops,strucpro,Structure of production,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL01,Veri,2021,,30.80,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL01,Veri,2022,,31.50,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL01,Veri,2023,,31.90,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL02,Qender,2021,,27.30,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL02,Qender,2022,,26.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL02,Qender,2023,,26.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL03,Jug,2021,,76.20,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL03,Jug,2022,,74.90,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AL03,Jug,2023,,77.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT11,Burgenland,2021,,82.16,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT11,Burgenland,2022,,83.47,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT11,Burgenland,2023,,82.52,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT12,Niederösterreich,2021,,389.79,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT12,Niederösterreich,2022,,392.19,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT12,Niederösterreich,2023,,383.24,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT13,Wien,2021,,1.96,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT13,Wien,2022,,1.96,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT13,Wien,2023,,1.96,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT21,Kärnten,2021,,29.52,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT21,Kärnten,2022,,29.50,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT21,Kärnten,2023,,28.16,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT22,Steiermark,2021,,70.31,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT22,Steiermark,2022,,70.67,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT22,Steiermark,2023,,73.64,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT31,Oberösterreich,2021,,171.35,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT31,Oberösterreich,2022,,174.67,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT31,Oberösterreich,2023,,170.43,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT32,Salzburg,2021,,1.38,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT32,Salzburg,2022,,1.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT32,Salzburg,2023,,1.41,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT33,Tirol,2021,,0.74,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT33,Tirol,2022,,0.84,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT33,Tirol,2023,,0.83,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT34,Vorarlberg,2021,,0.25,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT34,Vorarlberg,2022,,0.26,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),AT34,Vorarlberg,2023,,0.24,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,,1.00,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,,1.01,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,,1.04,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE21,Prov. Antwerpen,2021,,7.81,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE21,Prov. Antwerpen,2022,,8.55,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE21,Prov. Antwerpen,2023,,9.15,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE22,Prov. Limburg (BE),2021,,18.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE22,Prov. Limburg (BE),2022,,19.68,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE22,Prov. Limburg (BE),2023,,20.45,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),AR,Area (cultivation/harvested/production) (1000 ha),BE23,Prov. Oost-Vlaanderen,2021,,28.13,,,,,
