NUTS2,affo rate (t/ha/y),Source
AT11,4.173577054857966,direct
AT12,3.675615409209675,direct
AT13,3.675615409209675,direct
AT21,3.775628988820922,direct
AT22,3.1025380290225657,direct
AT31,3.219352088429363,direct
AT32,3.5985043853980914,direct
AT33,2.465096011003061,direct
AT34,3.266687213288544,direct
BE10,1.9468101265439572,BE1→NUTS1 copy
BE21,1.9468101265439572,BE2→NUTS1 copy
BE22,1.9468101265439572,BE2→NUTS1 copy
BE23,1.9468101265439572,BE2→NUTS1 copy
BE24,1.9468101265439572,BE2→NUTS1 copy
BE25,1.9468101265439572,BE2→NUTS1 copy
BE31,2.337726518717134,BE3→NUTS1 copy
BE32,2.337726518717134,BE3→NUTS1 copy
BE33,2.337726518717134,BE3→NUTS1 copy
BE34,2.337726518717134,BE3→NUTS1 copy
BE35,2.337726518717134,BE3→NUTS1 copy
BG31,2.731776091029731,direct
BG32,2.813134547623254,direct
BG33,2.790257008118325,direct
BG34,2.894427308643358,direct
BG41,4.066228038658328,direct
BG42,3.902791267067829,direct
CH01,2.776475725590159,direct
CH02,5.683210679805834,direct
CH03,5.660064487977991,direct
CH04,5.09249211060559,direct
CH05,3.3726495985547116,direct
CH06,4.380937319071399,direct
CH07,3.70073131189411,direct
CY00,4.025368845760703,EL43 copy
CZ01,2.727037712527128,direct
CZ02,3.8579384707653617,direct
CZ03,3.965592289826719,direct
CZ04,3.938005362857443,direct
CZ05,4.0051133764702795,direct
CZ06,3.944969630801718,direct
CZ07,3.876161217423556,direct
CZ08,3.776647263929843,direct
DE11,5.09249211060559,DE1→NUTS1 copy
DE12,5.09249211060559,DE1→NUTS1 copy
DE13,5.09249211060559,DE1→NUTS1 copy
DE14,5.09249211060559,DE1→NUTS1 copy
DE21,5.418333693095082,DE2→NUTS1 copy
DE22,5.418333693095082,DE2→NUTS1 copy
DE23,5.418333693095082,DE2→NUTS1 copy
DE24,5.418333693095082,DE2→NUTS1 copy
DE25,5.418333693095082,DE2→NUTS1 copy
DE26,5.418333693095082,DE2→NUTS1 copy
DE27,5.418333693095082,DE2→NUTS1 copy
DE30,3.580169015100222,DE3→NUTS1 copy
DE40,3.580169015100222,DE4→NUTS1 copy
DE50,3.730654360126704,DE5→NUTS1 copy
DE60,3.730654360126704,DE6→NUTS1 copy
DE71,5.00929379393716,DE7→NUTS1 copy
DE72,5.00929379393716,DE7→NUTS1 copy
DE73,5.00929379393716,DE7→NUTS1 copy
DE80,4.815093232001559,DE8→NUTS1 copy
DE91,3.730654360126704,DE9→NUTS1 copy
DE92,3.730654360126704,DE9→NUTS1 copy
DE93,3.730654360126704,DE9→NUTS1 copy
DE94,3.730654360126704,DE9→NUTS1 copy
DEA1,4.956990975866416,DEA→NUTS1 copy
DEA2,4.956990975866416,DEA→NUTS1 copy
DEA3,4.956990975866416,DEA→NUTS1 copy
DEA4,4.956990975866416,DEA→NUTS1 copy
DEA5,4.956990975866416,DEA→NUTS1 copy
DEB1,4.842249255753815,DEB→NUTS1 copy
DEB2,4.842249255753815,DEB→NUTS1 copy
DEB3,4.842249255753815,DEB→NUTS1 copy
DEC0,5.52740894234978,DEC→NUTS1 copy
DED2,4.752144132652424,DED→NUTS1 copy
DED4,4.752144132652424,DED→NUTS1 copy
DED5,4.752144132652424,DED→NUTS1 copy
DEE0,3.1621816604998148,DEE→NUTS1 copy
DEF0,3.6279243223288717,DEF→NUTS1 copy
DEG0,3.936617516040523,DEG→NUTS1 copy
DK01,2.7553291735757517,direct
DK02,2.719347175951702,direct
DK03,2.203669962235675,direct
DK04,1.794893770199467,direct
DK05,1.687199135572842,direct
EE00,1.485858107962091,avg nuts2 near
EL30,4.025368845760703,avg nuts0 (from NUTS2)
