NUTS2,CO2 seq rate tCO2/(ha y),density tCO2/ha,rotation_age_years,Source
FR24,4.1313447883597885,130.43234722222223,31.57140202621675,direct
FR62,3.6464325788429397,146.31256324404762,40.12485081802184,direct
FRA5,4.125998689285884,152.17732794715448,36.882543938348384,FR→country (Pilli)
ITF3,6.833411769915456,543.893404017857,79.59324307257225,direct
ITF4,3.4951481481481483,207.425625,59.346733302249675,direct
FR25,4.143944444444444,126.71083333333331,30.577348473676444,direct
ITF6,6.524901154276151,352.5210104166666,54.02702693597725,direct
ITH1,6.455974468061179,254.69697916666664,39.451360972181135,direct
FR63,5.060986458333334,212.89669270833338,42.06624429073137,direct
FR72,4.781418726851852,181.195265625,37.89571170737044,direct
ITH2,6.095881365272154,314.61970833333334,51.61184896505724,direct
ITH3,6.994613811672611,394.9643508184524,56.466927474871575,direct
LT00,3.919338681387985,318.1979166666667,81.18663441302319,LT→NUTS0
ITG1,2.9722506317582695,185.30917968749995,62.34641779784168,direct
FR71,4.192044498746867,173.44348214285714,41.37443726914273,direct
ITH4,9.047308220069404,437.950431547619,48.40671069170885,direct
ITH5,3.8769258713809407,236.27001488095235,60.942618641504794,direct
LU00,4.221403926482873,201.5994444444444,47.756492379162125,direct
LV00,3.272695767676166,290.53654513888887,88.77591006425548,LV→NUTS0
ITG2,2.2641756810897435,124.1491796875,54.83195527819962,direct
NL33,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
FR81,2.791618676900584,94.37713541666666,33.80731623469778,direct
ITI1,6.595477870628682,382.5827232142857,58.00682387519221,direct
ITI2,3.292999693313223,214.5366666666667,65.14931267752792,direct
ME00,2.6771474200206398,246.63466666666667,92.1259191116062,avg neighbours (100km)
MK00,4.829923954821694,227.15152777777777,55.24848229412199,avg neighbours (100km)
MT00,2.9722506317582695,185.30917968749995,62.34641779784168,avg neighbours (100km)
NL11,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL34,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL41,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL42,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NO01,3.1332939526772248,230.02231770833333,75.0,avg neighbours (100km)
FR82,1.9995945540935671,72.18730902777777,36.10097300975141,direct
ITI3,1.5147360430283225,103.33869791666667,68.22224795685703,direct
ITI4,4.4198645398954115,262.33604947916666,59.35386641631655,direct
LI00,5.593283722039311,338.9802150297619,61.93766473402775,avg neighbours (100km)
NL12,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL13,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL21,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL22,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL23,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL31,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
NL32,4.143475393683114,236.93609871031745,57.182938523427836,NL→country (Pilli)
FR83,3.5241249999999997,133.98229166666664,38.01859799713876,direct
FRA1,4.125998689285884,152.17732794715448,36.882543938348384,FR→country (Pilli)
FRA2,4.125998689285884,152.17732794715448,36.882543938348384,FR→country (Pilli)
NO03,3.1332939526772243,230.02231770833336,75.0,avg neighbours (100km)
NO02,2.9409275641025636,220.93270833333335,77.0,avg neighbours (100km)
NO04,3.3820303898001507,233.01108072916668,70.0,avg neighbours (100km)
NO05,3.15208396885998,227.9887022569445,74.0,avg neighbours (100km)
FRA3,4.125998689285884,152.17732794715448,36.882543938348384,FR→country (Pilli)
HR03,2.6771474200206398,246.63466666666667,92.1259191116062,HR→NUTS0
FR26,4.474613015756985,184.04317708333332,41.13052378725049,direct
FR30,4.776666666666666,184.06666666666666,38.534542916957434,direct
IE02,2.2121227826510723,191.66086805555554,86.64115281425002,IE→NUTS0
FI1C,2.390375801282051,155.37442708333333,65.0,FI→country (Pilli)
FR41,4.038458089668616,136.49357638888887,33.79843825495516,direct
FR42,5.266020833333332,151.3817708333333,28.74689934287828,direct
HR04,2.6771474200206398,246.63466666666667,92.1259191116062,HR→NUTS0
FR43,4.617471170402858,163.76765625000002,35.46695803965612,direct
