country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr,density_tCO2_ha
AT,AT12,AT12,AA,con,HP,65,6.435384615384615,0.36,5.309192307692307,345.0974999999999
AT,AT21,AT21,AA,con,HP,95,6.883157894736842,0.35,5.520866228070175,524.4822916666666
AT,AT21,AT21,AA,con,HS,95,3.128421052631579,0.37,2.652640350877193,252.00083333333333
AT,AT22,AT22,AA,con,HP,65,8.58,0.35,6.881874999999998,447.32187499999986
AT,AT31,AT31,AA,con,HP,85,9.07764705882353,0.34,7.073,601.205
AT,AT32,AT32,AA,con,HP,55,7.6072727272727265,0.36,6.276,345.18
AT,AT33,AT33,AA,con,HP,65,7.7215384615384615,0.35,6.193317307692307,402.56562499999995
AT,AT33,AT33,AA,con,HS,65,4.2907692307692304,0.37,3.6382147435897427,236.48395833333328
AT,AT34,AT34,AA,con,HP,85,8.068235294117647,0.35,6.471397058823529,550.0687499999999
AT,AT11,AT11,FS,broad,HP,55,4.578181818181818,0.52,5.455666666666667,300.06166666666667
AT,AT12,AT12,FS,broad,HP,55,5.596363636363637,0.51,6.540749999999999,359.74125
AT,AT12,AT12,FS,broad,HS,55,2.098181818181818,0.55,2.6445833333333333,145.45208333333332
AT,AT21,AT21,FS,broad,HP,95,4.609473684210526,0.5,5.281688596491227,501.7604166666666
AT,AT21,AT21,FS,broad,HS,95,3.191578947368421,0.51,3.730157894736842,354.365
AT,AT22,AT22,FS,broad,HP,45,4.957777777777777,0.53,6.021634259259258,270.9735416666666
AT,AT22,AT22,FS,broad,HS,45,3.813333333333333,0.54,4.718999999999999,212.35499999999996
AT,AT31,AT31,FS,broad,HP,75,4.7,0.51,5.493125,411.984375
AT,AT31,AT31,FS,broad,HS,75,3.3573333333333335,0.52,4.000822222222222,300.06166666666667
AT,AT32,AT32,FS,broad,HP,65,5.467692307692308,0.51,6.390365384615384,415.37375
